"EventType","EventID","SubjectID","ToolInstances","ParentEventID","ServerTimestamp","ServerTimezone","CourseID","CourseSectionID","TermID","ProblemID","ProgramResult","EventInitiator","ProgramInput","ProgramOutput","CodeStateID","CodeStateSection"
"File.Edit","3720","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c186",""
"File.Edit","3740","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c187",""
"File.Edit","3760","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c188",""
"File.Edit","3780","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c189",""
"File.Edit","3800","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c190",""
"File.Edit","3820","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c191",""
"File.Edit","3860","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c193",""
"File.Edit","3880","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c194",""
"File.Edit","3900","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c195",""
"File.Edit","3920","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c196",""
"File.Edit","3940","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c197",""
"File.Edit","3960","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c198",""
"File.Edit","3980","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c199",""
"File.Edit","4040","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c202",""
"File.Edit","4060","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c203",""
"File.Edit","4080","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c204",""
"File.Edit","4100","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c205",""
"File.Edit","4120","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c206",""
"File.Edit","4140","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c207",""
"Submit","4160","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","","","","",""
"Compile","4160","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","Success","User","","","",""
"Run.Test","80","2","CloudCoder 0.1.4","208","2019-07-30T15:43Z","-0500","1","","","2","Success","User","10","","",""
"Run.Test","100","2","CloudCoder 0.1.4","208","2019-07-30T15:43Z","-0500","1","","","2","Success","User","14","","",""
"Run.Test","120","2","CloudCoder 0.1.4","208","2019-07-30T15:43Z","-0500","1","","","2","Success","User","37","","",""
"File.Open","4180","2","CloudCoder 0.1.4","","2019-07-30T15:44Z","-0500","1","","","7","","","","","",""
"File.Edit","4200","2","CloudCoder 0.1.4","","2019-07-30T15:44Z","-0500","1","","","7","","User","","","u2/p7/c210",""
"File.Edit","4220","2","CloudCoder 0.1.4","","2019-07-30T15:44Z","-0500","1","","","7","","User","","","u2/p7/c211",""
"File.Edit","4240","2","CloudCoder 0.1.4","","2019-07-30T15:44Z","-0500","1","","","7","","User","","","u2/p7/c212",""
"File.Edit","4260","2","CloudCoder 0.1.4","","2019-07-30T15:44Z","-0500","1","","","7","","User","","","u2/p7/c213",""
"File.Edit","4280","2","CloudCoder 0.1.4","","2019-07-30T15:44Z","-0500","1","","","7","","User","","","u2/p7/c214",""
"File.Edit","4300","2","CloudCoder 0.1.4","","2019-07-30T15:44Z","-0500","1","","","7","","User","","","u2/p7/c215",""
"File.Edit","4320","2","CloudCoder 0.1.4","","2019-07-30T15:44Z","-0500","1","","","7","","User","","","u2/p7/c216",""
"File.Edit","4340","2","CloudCoder 0.1.4","","2019-07-30T15:44Z","-0500","1","","","7","","User","","","u2/p7/c217",""
